Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Mature,Language
JohnPitterTV,461605275,508965,4148,900,286184,FALSE,Portuguese
Zizaran,460519830,156195,20745,2552,267004,FALSE,English
imls,460332570,78945,32758,5621,392024,FALSE,English
TSM_ImperialHal,459076530,120975,23107,3550,302593,FALSE,English
악어 (jdm2088),458883255,32625,65622,15405,276488,FALSE,Korean
Ramee,457242510,159825,10845,2825,132642,FALSE,English
Towelliee,453487500,183090,15495,2392,705098,FALSE,English
SPYGEA,452479680,143730,17228,3131,222046,FALSE,Japanese
FollowGrubby,451910415,132015,15296,3365,430649,FALSE,English
Amar,449223195,100800,45549,4207,604374,FALSE,German
mch_AGG,443328990,499575,11191,884,219431,TRUE,Portuguese
IWillDominate,442870530,93480,23813,4591,797244,FALSE,English
Nadeshot,440331540,50175,40327,7985,1472104,TRUE,English
buddha,438460680,135090,11971,3184,247303,TRUE,English
Deadlyslob,438143850,119085,104568,3088,315637,FALSE,English
懶貓 (failverde),437353350,184845,14610,2348,169973,FALSE,Chinese
嬌兔 (zrush),436243530,137910,10628,3084,180412,TRUE,Chinese
HoneyMad,434971635,67995,21369,6394,533250,TRUE,Russian
ESAMarathon,433329345,301395,22132,1460,244440,FALSE,English
Nmplol,429213420,63870,24687,6767,455444,FALSE,English
relaxing234,428279160,51180,19194,8405,258402,FALSE,Chinese
Doigby,428267280,59655,93577,6829,1068260,FALSE,French
Sequisha,426325350,163530,19755,2540,252495,TRUE,English
HusKerrs,425044665,107610,39433,3247,361360,FALSE,English
얍얍 (yapyap30),422278350,46800,36933,9306,301033,FALSE,Korean
Elwind,421436625,58965,18270,7165,703464,FALSE,Turkish
Shiphtur,420316860,118410,19688,3414,709343,FALSE,English
BarbarousKing,419187600,188895,13419,2244,159402,TRUE,English
alexelcapo,418413015,72930,74670,5772,680023,FALSE,Spanish
moistcr1tikal,415091820,103170,42135,3977,1166681,FALSE,English
Rush,412717875,86265,15405,4731,542991,FALSE,English
LosPollosTV,411900525,69900,54323,5671,476096,FALSE,English
DreamLeague,411414600,244560,147514,1751,349054,FALSE,English
Voyboy,411274050,80670,21187,4632,1251182,FALSE,English
BastiGHG,410621295,144135,10455,2733,507730,FALSE,German
DatModz,409985220,228615,14288,1753,270720,FALSE,English
dafran,408885990,92565,19611,4319,599036,FALSE,English
yeTz,408478725,87990,21212,4221,849972,FALSE,Portuguese
Aurateur,407829960,163815,15547,2492,142427,TRUE,English
pokelawls,407214675,118335,22496,3352,668807,FALSE,English
ziGueira,407188275,117555,36519,3203,529814,FALSE,Portuguese
A_Seagull,407156655,95160,28779,4193,1028544,TRUE,English
koil,403848390,145035,13421,2791,299033,TRUE,English
PAGO3,402836460,156135,20284,2326,425072,FALSE,Polish
Llobeti4,402468465,112545,37469,3410,648084,FALSE,Spanish
殺梗 (xargon0731),401439255,155325,8406,2549,283232,FALSE,Chinese
itsHafu,400822020,123375,34345,3276,787371,FALSE,English
shongxbong,400635750,50310,94869,7656,845158,FALSE,Arabic
StaysafeTV,399746130,135180,15608,2876,149648,TRUE,English
Loeya,398289900,150495,7955,2635,1233300,FALSE,English
RiotGamesJP,390922410,26325,60682,13675,141684,FALSE,Japanese
